stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
7399,60107,בית כנסת קרלין/חת''ם סופר, רחוב:חת''ם סופר 6 עיר: ביתר עילית רציף:   קומה:  ,31.695906,35.120565,0,,3780
7400,60108,חתם סופר / חזו'א, רחוב:חת''ם סופר 15 עיר: ביתר עילית רציף:   קומה:  ,31.695612,35.122390,0,,3780
7401,60109,חזון איש/ חתם סופר, רחוב:חזון אי''ש 13 עיר: ביתר עילית רציף:   קומה:  ,31.695636,35.123290,0,,3780
7402,60110,חזון איש/אריאלי, רחוב:חזון אי''ש 3 עיר: ביתר עילית רציף:   קומה:  ,31.694750,35.121642,0,,3780
7403,60111,תלמודי תורה/אריאלי, רחוב:הרב יצחק אריאלי 5 עיר: ביתר עילית רציף:   קומה:  ,31.694451,35.118947,0,,3780
7404,60112,פארק חזון יוסף, רחוב:רבי יוחנן בן זכאי 4 עיר: ביתר עילית רציף:   קומה:  ,31.694271,35.117280,0,,3780
7405,60113,רבי יוחנן בן זכאי/חפץ חיים, רחוב:רבי יוחנן בן זכאי 14 עיר: ביתר עילית רציף:   קומה:  ,31.693399,35.115958,0,,3780
7406,60114,זוועהיל א, רחוב:הרבי מזוועהיל 10 עיר: ביתר עילית רציף:   קומה:  ,31.693977,35.113589,0,,3780
7407,60115,הרבי מזוועהיל/מעלות גאוני בריסק, רחוב:הרבי מזוועהיל 24 עיר: ביתר עילית רציף:   קומה:  ,31.695359,35.113637,0,,3780
7408,60116,בית כנסת משכן הקודש/אש קודש, רחוב:אש קודש 4 עיר: ביתר עילית רציף:   קומה:  ,31.692601,35.115046,0,,3780
7409,60117,אש קודש/הרבי מלובביץ, רחוב:אש קודש 14 עיר: ביתר עילית רציף:   קומה:  ,31.692891,35.117086,0,,3780
7410,60118,צדקא / אש קודש, רחוב:הרב צדקה 1 עיר: ביתר עילית רציף:   קומה:  ,31.693226,35.118872,0,,3780
7412,60120,חזו''א/אריאלי, רחוב:חזון אי''ש 2 עיר: ביתר עילית רציף:   קומה:  ,31.694600,35.121548,0,,3780
7413,60121,חזו'א / חתם סופר, רחוב:חזון אי''ש 12 עיר: ביתר עילית רציף:   קומה:  ,31.695557,35.123341,0,,3780
7414,60122,חתם סופר/חזו'א, רחוב:חת''ם סופר 15 עיר: ביתר עילית רציף:   קומה:  ,31.695705,35.122434,0,,3780
7415,60123,חתם סופר/ המודעי, רחוב:חת''ם סופר 1 עיר: ביתר עילית רציף:   קומה:  ,31.695944,35.120200,0,,3780
7416,60124,הר''ן/מעזריטש, רחוב:הר''ן 17 עיר: ביתר עילית רציף:   קומה:  ,31.703487,35.118213,0,,3780
7417,60125,הר''ן/קדושת לוי, רחוב:הר''ן 1 עיר: ביתר עילית רציף:   קומה:  ,31.705522,35.116992,0,,3780
7418,60126,רבי אלעזר המודעי/החיד''א, רחוב:רבי אלעזר המודעי 1 עיר: ביתר עילית רציף:   קומה:  ,31.694974,35.118251,0,,3780
7419,60127,דברי חיים/החיד''א, רחוב:דברי חיים 6 עיר: ביתר עילית רציף:   קומה:  ,31.697265,35.118052,0,,3780
7420,60128,דברי חיים/ התעוררות תשובה, רחוב:דברי חיים  עיר: ביתר עילית רציף:   קומה:  ,31.698361,35.119772,0,,3780
7421,60129,קמפוס חב''ד, רחוב:האדמו''ר מרוז'ין 6 עיר: ביתר עילית רציף:   קומה:  ,31.698758,35.121627,0,,3780
7422,60130,מרכז מסחרי כיכר העיר, רחוב:הרב ברים 4 עיר: ביתר עילית רציף:   קומה:  ,31.704174,35.116860,0,,3780
7423,60131,הרב ברים/פחד יצחק, רחוב:הרב ברים 12 עיר: ביתר עילית רציף:   קומה:  ,31.703263,35.115096,0,,3780
7424,60132,שטיבלאך קהל חסידים/פחד יצחק, רחוב:פחד יצחק 14 עיר: ביתר עילית רציף:   קומה:  ,31.701869,35.114572,0,,3780
